,Comment,Sentiment,predicted_roberta
1,Ned needs a medal for this game. ,positive,neutral
2,"Is it me, or did Toffoli play with quite a bit more energy tonight?  Like a bit more than all season?",positive,neutral
6,eklund goal drought is over,positive,neutral
7,And Eklund with that goal straight out of chel ð¥ð¥ð¥ð¥,positive,neutral
9,They all owe Ned money,positive,neutral
12,Wklund drought over âºï¸,positive,neutral
15,reavo powerplay lfg,positive,neutral
16,sherwood gets a shoulder to the head and somehow thatâs his fault? whatâs mcavoy even mad about???,neutral,negative
19,Kiefer is a psycho I fucking love him,positive,negative
20,"I don't blame McAvoy that much, Sherwood was bent over and skating face first. ",neutral,negative
21,ref touching wenny's back like he wants to take him home tonight,positive,neutral
23,"Sherwood hung out to dry.  Not a good look, Sharks.",neutral,negative
24,What are you talking about? Vinny and Goody both got in there,positive,neutral
27,FUCK EM UP SHERWOOD,positive,negative
31,the Misa line carried the day. ,positive,neutral
33,I actually think Celebrini's line was the best today in terms of carrying play.,neutral,positive
35,"It was honestly only a matter of time, pasta has been going hard all night. Itâs ok Ned. ",neutral,positive
37,"Fuck, poor Ned",neutral,negative
41,RENAME THE PK THE GRAF KILL ,positive,neutral
49,vinny going after barzal is exactly why we need him to stay,positive,neutral
51,Reavo needs to fight that fucker next game ,neutral,negative
52,Eklund bro ,negative,neutral
53,who tripped asky? Id almost rather give up a pp to lay them out,neutral,negative
55,WHO TRIPPED ASKY I'm on the other side of the country but I'll fight a motherfucker ,neutral,negative
57,What the fuck was that shit on Asky? Did someone trip him there?,neutral,negative
59,lol Asky just Booped ,neutral,positive
66,ð¯ð¯Smitty OT goalð¯ð¯,positive,neutral
68,"Wouldn't have gone to OT if Asky had a functioning glove hand, and it put his otherwise excellent play into question.",positive,negative
70,I feel protective of Macklin why are they trying to beat him up,neutral,negative
71,Oooooh smitty I fear youâre far too pretty to get in any scrums lmao ,neutral,negative
74,Is that a guy in a fucking Celebrini jersey clapping for the Sabres,neutral,negative
75,"I really hope we can put a goalscorer on the Misa line soon, wouldn't mind seeing Misa Graf, they were solid early in the season",neutral,positive
77,Now we just hope for Will (and the rest of the team) to have another big game in Boston and try to get it together a little bit.,neutral,positive
79,Asky out there being petty about getting pulled lmfao ,neutral,negative
80,the celebrini scoring stat does not apply anymore,neutral,negative
83,smitty ily but u gotta be physical,negative,positive
88,"need more sherwoods, guys who just shoot the damn puck instead of getting too fancy",positive,neutral
92,Toffoli still out there on the power play for whatever reason,negative,neutral
95,WENNY ACTUALLY SHOOTING IM GOING CRY. IS THIS MY SAN JOSE SHARKS??,positive,negative
96,"Orlov can actually make the fast pass unlike Kling, keep him on PP1",positive,neutral
98,nah cause why did ostopchuk throw it back on warsofsky,neutral,negative
99,Warso going to use that Toff assist on the last PP as excuse to keep him on PP1 for the rest of the year ,positive,neutral
100,smitty pp goal perchance ,positive,neutral
102,celebrini power play goal,positive,neutral
103,asky i still love you even tho you stressed me the fuck out today,positive,negative
104,"KIEFER SHERWOOD, YOU ARE A SAN JOSE SHARK",positive,neutral
105,Sherwood heard yâall talkin shit,positive,negative
109,it was not pretty but askarov was solid when the habs pulled their goalie,positive,negative
110,Just a casual 4 point night for Celebrini lol,positive,neutral
111,we cant trade sherwood after tonight right?,positive,neutral
115,KEEP SHERWOOD. WE JUST FIGURED HIM OUT,positive,neutral
118,4 POINTS FOR MACKLIN CELEBRINI,positive,neutral
123, sherwood getting his first goal days before trade deadline,positive,neutral
128,"Celebrini, man. What else can you say?",positive,neutral
131,Letâs not forget Colin Graf. ,positive,neutral
137,The game in Montreal will be worth watching. Maybe. You think? ð¤ ð¯ percent Reavo plays.,neutral,positive
139,I personally think Kiefer Sherwood should be mic'd up every game. I wanna hear what the man is yelling about all the time,neutral,negative
146,I love how much mack hates the cameras and microphones lol,neutral,negative
150,"dang, 4 pt performance by celebrini",positive,neutral
151,Great quote by Sherwood lol,neutral,positive
152,Did Mack have 4 points??,positive,neutral
153,Macklin Celebrini is now in 7th for single season points,positive,neutral
154,Sherwood gonna sign an extension after this game. This is the one that made him realize that he wants to be here for the long run,neutral,positive
159,Call him Hockey Gaud,positive,neutral
160,Why did Macklin pass that lmao. Scared me to death,neutral,negative
163,Fucking celebrini made that,positive,negative
165,That is 4 points for the captain macklin celebrini,positive,neutral
167,4 POINTER FOR THE MACK,positive,neutral
169,Letâs go! Where are the Sherwood haters now,positive,negative
170,TALK YOUR SHIT SHERWOOD,positive,negative
172,Having Gauds with the empty netter is a kick in the nuts to Habs fans lol,neutral,negative
173,Gaudette deserved that,positive,neutral
178,Gaudette deserved that and Celebrini knew it,positive,neutral
180,BASED GAUD,positive,neutral
183,Jesus Christ Asky,negative,neutral
186,Askys gotta have that,negative,neutral
187,Askarov beat high glove again,negative,neutral
188,WILL MF SMITH,positive,neutral
189,Will Mack really is just inevitable,positive,neutral
195,Ferraro goal incoming,neutral,positive
199,"Dude, Macklin looks possessed this game. Me like a lot. Have a feeling he's not done yet....",positive,neutral
203,"Ahh wtf Celebrini lmfao. Well we moved up by a point on 2 of the 3 teams, namely Edmonton. Anaheim seems likely to take over the division tbh.",negative,neutral
210,"how about that Will Smith ""kick"" from several games back? lol these refs don't know what a kicking motion is",neutral,negative
211,Big oof by Ned on contract day,negative,neutral
215,sam trying to make sure he never sees time in OT again,negative,neutral
216,RIP. It's crazy how high my expectations are from Macklin. I expect perfection from a 19 year old because of how good he's been.,neutral,positive
217,"Should have put Sherwood out on that first shift, only dude who wanted it tonight",positive,neutral
222,Dickinson dude,negative,neutral
224,Can we get some of that Misa Eklund OT speed?,negative,neutral
225,"Ok thank god for kief. not only is this not our best game as a team, but I feel like individually so many players had truly awful games tonight lol. Iâm excited for the stat card. But letâs go win it boys.",positive,negative
227,Misa gonna make it a 4 game goal streak,positive,neutral
231,Muk better fucking play in this 3-on-3.,neutral,negative
233,kief first star no matter the result,positive,neutral
234,Misa and celebrini on the ice at the same time? Oh baby.,neutral,positive
235,"Call me crazy, but donât mind Klingbergs game tn ",positive,neutral
237,"Orlov is such a fucking battering ram, dude.",positive,negative
240,Mario man cmon.....,negative,neutral
243,"Will Smith, you're officially on the LivingSale flair punishment. Please play better to be taken off of the flair.(:",negative,neutral
250,smitty let's smell some salts and lock in,negative,neutral
257,Monster shift by Misa,positive,neutral
258,Misa needs to be on the pp1 ,positive,neutral
271,mack was due for one of those,positive,neutral
274,Klingberg.,negative,neutral
281,Graf to Misa line and Ek to Cele line? So many better options,neutral,positive
288,MICHAEL FUCKING MISA,positive,negative
289,MISA YOU BAD MOTHER FUCKER,positive,negative
290,Ned absolutely bailing us out towards the end of that game. Team was absolutely selling him out with all those odd man chances,positive,negative
291,Lord blew right by Kling like he was standing still.,negative,neutral
293,Could klingberg possibly be slower ,negative,neutral
296,Klingburg going in slow motion there,negative,neutral
297,klingberg dangle? in this economy?,positive,neutral
298,Tough game for wennberg,negative,neutral
302,macklin gotta lock in ,negative,neutral
305,Gotta take that shot Eklund.,negative,neutral
309,chief kief a man of the people,positive,neutral
319,Smith on the breakaway takes a 75% attributes debuff,negative,neutral
322,Setting up Klingberg for shots is umm interesting,neutral,positive
323,"Kurashev looking very hesitant, hope he figures it out",negative,neutral
327,The way Misa is moving at 19 is nuts,positive,neutral
328,mack can you not,negative,neutral
329,Eky wants it so badly and so do I need this goal drought to end,neutral,negative
330,Eklund just so snakebit this year.,neutral,negative
333,eky you WILL get a goal,neutral,positive
335,Really hope klingberg makes quite an impression on the scouts today.,neutral,positive
337,Klingberg starting off strong with another turnover,negative,neutral
338,lmao; the close-up on Sherwood during warm ups while they talk about how many scouts are in the building. really hope we can get some assets back,neutral,positive
339,bro was that not a stick on sherwoods foot,neutral,negative
343,"good, cant be having mario hurt before the TDL",neutral,negative
349,Graf back on the first. A thing of beauty.,neutral,positive
351,If Dickie gained like 10 more lbs of muscle... he'd be unstoppable,neutral,positive
354,omg is sherwood finally off the top line,negative,neutral
355,that should silence the will smith haters,positive,negative
363,i love how many fucks sherwood gives,positive,negative
366,If Eklund could ever figure out how to consistently put it in the back of the net he would be so dangerous.,neutral,negative
367,i bet it takes one minute for Vinny to fall down cuz he's such a tree,neutral,negative
368,celebrini must be dying to score on hellebuyck,neutral,negative
372,Misas taken a beating today. Love him going in front of the net though,neutral,positive
381,The patented Wennberg OT faceoff loss,negative,neutral
387,smitty with the eyebrow slit damn he's beautiful,neutral,positive
390,Ned standing on his fucking head.,positive,negative
391,The entire defense owes Ned a hell of a dinner,positive,negative
392,Bro theyre leaving Ned out to dry,neutral,negative
394,Toff slanderers need to just pack it up and leave tbh,positive,negative
395,toff heard the haters from the sabres game and decided to wake up,positive,neutral
398,SMITH ALMOST LOST HIS TEETH ! WEAR THAT FK MOUTHGARD,neutral,negative
399,Manifesting a Smitty goal tonight in front of his fam!,neutral,positive
401,I feel like Ned shoulda had that ,negative,neutral
402,ned needs to get that,negative,neutral
405,Time for Kingberg to make his return and get hot!,neutral,positive
