Comment,Sentiment
Everyone on the team seems to be on high spirits since yesterday. Ned was amazing! ,positive
Ned needs a medal for this game. ,positive
"Is it me, or did Toffoli play with quite a bit more energy tonight?  Like a bit more than all season?",positive
Eky's goal was tonight's highlight!,positive
Big shoutout to NED dude was solid the entire game,positive
celebrini point streak is alive,positive
eklund goal drought is over,positive
And Eklund with that goal straight out of chel 🔥🔥🔥🔥,positive
That Ekky goal is so sexy ,positive
They all owe Ned money,positive
Ned with an absolute monster of a game. Way to go!,positive
do we have a clip of the sherwood reponse?,neutral
Wklund drought over ☺️,positive
Refs rushing to get Reaves off the ice lol,neutral
Reaves is worthless. ,negative
reavo powerplay lfg,positive
sherwood gets a shoulder to the head and somehow that’s his fault? what’s mcavoy even mad about???,neutral
Atta boy Sherwood.,positive
Sherwood trying to collect the rest of McAvoy's teeth,neutral
Kiefer is a psycho I fucking love him,positive
"I don't blame McAvoy that much, Sherwood was bent over and skating face first. ",neutral
ref touching wenny's back like he wants to take him home tonight,positive
"Kiefer is such a dawg, he’s good for this team. Really good. ",positive
"Sherwood hung out to dry.  Not a good look, Sharks.",neutral
What are you talking about? Vinny and Goody both got in there,positive
"~~5k fine, thats tp for sherwood, good to see him not just take that~~",positive
I love SHERWOOD MY GUY,positive
FUCK EM UP SHERWOOD,positive
I think before Klingberg was the top defenseman,neutral
I still love you Ned sorry people here jinxed you .. lol,positive
I don't remember the last game we won convincingly despite Celebrini having a pretty sub-par game. ,negative
the Misa line carried the day. ,positive
Ned was fucking awesome for \~50 minutes,positive
I actually think Celebrini's line was the best today in terms of carrying play.,neutral
"Will and Graf were pretty good, it's not like Macklin was bad bad but compared to his own standards he turned the puck over a lot and I feel like missed some plays.",neutral
"It was honestly only a matter of time, pasta has been going hard all night. It’s ok Ned. ",neutral
Great play Mack,positive
"Fuck, poor Ned",neutral
Lol close one Graf. You've been awesome,positive
"Pedestrian 1pt Macklin game smh, it's so over",negative
I hope smitty gets an EN ,neutral
RENAME THE PK THE GRAF KILL ,positive
Orlov catching strays,neutral
Klingberg gets a pass,neutral
eky eats it on every play 😭,neutral
"I hope for the next game, they send Reaves or someone after Barzal. Let's see how tough he is. ",neutral
Eklund should not be out there on OT. His decision making lately has been atrocious ,negative
So many questionable calls. Not Askarov's best performance. Just a super frustrating loss.,negative
Eklund is just not that good. He's so weak on the puck. ,negative
vinny going after barzal is exactly why we need him to stay,positive
Eklund is a fucken idiot not waiting until Celebrini got up. Dude rushed 2 on 2 without the best player ,negative
Reavo needs to fight that fucker next game ,neutral
Eklund bro ,negative
who tripped asky? Id almost rather give up a pp to lay them out,neutral
Smith and Celebrini are magic.,positive
WHO TRIPPED ASKY I'm on the other side of the country but I'll fight a motherfucker ,neutral
Asky just running through masks,neutral
What the fuck was that shit on Asky? Did someone trip him there?,neutral
"genuine q, cuz i can't remember, has Asky been in a shoot out before? ",neutral
lol Asky just Booped ,neutral
Um did asky get decked,neutral
eklund playing like a guy with negative confidence rn,negative
I'm not sure what Sherwood's plan was there.,neutral
Shoot that Misa,neutral
What was Eklund doing out there? Guy has been awful.,negative
"""klingberg in"" nightmare sentence to hear in OT ",negative
🕯🕯Smitty OT goal🕯🕯,positive
Asky has had a solid game btw.,positive
"Wouldn't have gone to OT if Asky had a functioning glove hand, and it put his otherwise excellent play into question.",positive
Celly bout to go ham .. asky got his Cali fin hat on fuk ny,neutral
I feel protective of Macklin why are they trying to beat him up,neutral
Oooooh smitty I fear you’re far too pretty to get in any scrums lmao ,neutral
Why did they go after Toff? Lol,neutral
The most unforgivable thing is Klingberg,negative
Is that a guy in a fucking Celebrini jersey clapping for the Sabres,neutral
"I really hope we can put a goalscorer on the Misa line soon, wouldn't mind seeing Misa Graf, they were solid early in the season",neutral
Warso has thought klingberg is our top defenseman this whole time. ,neutral
Now we just hope for Will (and the rest of the team) to have another big game in Boston and try to get it together a little bit.,neutral
When's Eklund supposed to be back in the lineup?,neutral
Asky out there being petty about getting pulled lmfao ,neutral
the celebrini scoring stat does not apply anymore,neutral
Did Mack and the boys not know the net was empty? Lazy shit from the boys there. They didn’t even care.,negative
"Toff looks like he’s skating in concrete. Good god.

He’s sadly washed ",negative
smitty ily but u gotta be physical,negative
eklund really just stood there like that was gonna do something lmao,negative
Pulling Asky when we have a turnover/defense  problem,neutral
Smith just backed out of a 50-50 puck battle because he was scared to get hit,negative
do i pay an etsy witch to cure eky... ill do it..,neutral
"need more sherwoods, guys who just shoot the damn puck instead of getting too fancy",positive
misa jeez,neutral
sherwood don't make me take it back ,neutral
"""gets through toffoli"" sigh... why is he on PP1",negative
Toffoli still out there on the power play for whatever reason,negative
SMITTY THAT WAS A GREAT SHOT DONT GIVE UP PRINCESS!!!!!!!,positive
"Is it just me, or does Wennberg get kicked out of the circle a lot during power play faceoffs?  ",neutral
WENNY ACTUALLY SHOOTING IM GOING CRY. IS THIS MY SAN JOSE SHARKS??,positive
"Orlov can actually make the fast pass unlike Kling, keep him on PP1",positive
Bro I’m tired of Klingberg ,negative
nah cause why did ostopchuk throw it back on warsofsky,neutral
Warso going to use that Toff assist on the last PP as excuse to keep him on PP1 for the rest of the year ,positive
smitty pp goal perchance ,positive
Okay it wasn't Mack but I'm taking credit anyway ,neutral
celebrini power play goal,positive
asky i still love you even tho you stressed me the fuck out today,positive
"KIEFER SHERWOOD, YOU ARE A SAN JOSE SHARK",positive
Sherwood heard y’all talkin shit,positive
Sherwood does bring something to this team. It’s not 1st line minutes and it’s probably not worth 30 mill but it’s something ,positive
"Holy fuck what a game! 7 goals, 4 points for Mack and Sherwood with his first goal!",positive
Hell of a time for Sherwood to show up. That’s how you endear yourself to a fanbase!,positive
it was not pretty but askarov was solid when the habs pulled their goalie,positive
Just a casual 4 point night for Celebrini lol,positive
we cant trade sherwood after tonight right?,positive
Misa was excellent on that Sherwood goal to keep that alive,positive
I can see how Sherwood is loved by fans in his interview here.,positive
I just wanted to shout out Sherwood for this game since I haven’t seen too much of that on here yet. Guy had a great showing and I’m happy for him,positive
KEEP SHERWOOD. WE JUST FIGURED HIM OUT,positive
"Feels like Sherwood has bought in after his celebration, realize it may be personal but it felt like he wanted it for more than just himself ",positive
"Love that for Sherwood. Showed up when it mattered most. Also fuck Anderson for that crosscheck. I hope he gets suspended for that dirty move. Also how pathetic is Dobeš, bro got lit up all night and then slashes gaudette who got pushed into him earlier on by a Montreal defender and then skates into gaudette and slashes him and draws a penalty on gaudette. Absolute joke from the officials tn. Ik the game was exciting but Montreal was super dirty and deserved this big fat L. Michael Misa also already looks like a superstar, love to see it",positive
4 POINTS FOR MACKLIN CELEBRINI,positive
 Idc Askarov is the goat.,positive
THAT WAS THE PERFECT GAME FOR KEIFER SHERWOOD TO SHOW UP AND HOLY FUCK SIGN HIM 8x8 I DONT FUCKING CARE GIVE ME WOOOOOOD,positive
What a fitting end with a Gaudette Goal!,positive
"I'm curious what we do with Ned in the next few days. Letting him walk feels like bad asset management. I'd love to re-sign him. If we have serious playoff hopes next year, I don't think Askarov is ready to be a 1A just yet.",neutral
 sherwood getting his first goal days before trade deadline,positive
Sherwood has that dog in him.  What a game! ,positive
In games like that you can see why GMMG likes Sherwood. What a game.,positive
"Sherwood hitting the scoresheet finally, Mack w 4 points, what a game!!",positive
"Did Sherwood say ""We""? Are we hearing something soon?",neutral
"Celebrini, man. What else can you say?",positive
What a turnaround game from Sherwood. ,positive
This is exactly the kind of game that makes me want to keep Sherwood. His grit and energy is so valuable to this team and it’s a bonus when he can chip in on the scoresheet. Really hope they can find a middle ground with his contract.,positive
Let’s not forget Colin Graf. ,positive
Sherwood's pretty good at these interviews.,positive
This fucksss team means the world to me holy shit. Kiefer Sherwood I am so happy for you. Actual chills.,positive
"4 point game for Mack, our goat was dominant every shift",positive
LETS FUCKING GO SHERWOOD IS HERE,positive
Where is the gif of Will and the smelling salts?! Need it,neutral
The game in Montreal will be worth watching. Maybe. You think? 🤔 💯 percent Reavo plays.,neutral
it feels like mack’s really gotten back into his groove,positive
I personally think Kiefer Sherwood should be mic'd up every game. I wanna hear what the man is yelling about all the time,neutral
"Hockey is just such a good sport omg lol I loved in the post game Dan Boyle half admitting that he thinks Macklin is gonna be better than Crosby, then half taking it back because it’s such a wild thing to say, and then just being like fuck it I’m just along for the for the ride 😂",positive
Gaudette getting the empty net was good,positive
"Kurashev has been playing really well too. If they end up trading him, I hope he’s packaged up for a d-man and not just more draft picks.",positive
